"","Title.x","Doi.x","Year","Taxon","Species","Social_mating_system","Mating_in_study","Source_of_population","Exposure_stage","Exposure_category","Exposure_factor","Proximate_mechanisms","Maternal_effects","Maternal_effectcs_control","Latest_offspring_stage","Embryo_traits","Just_born_hatched_traits","Larvae_traits","Juveniles_traits","Adult_traits","Trait_list","Grand_offspring_traits","Grand_offspring_stage","Sex_specific_effects","Maternal_exposure","Offspring_exposure","Comments","link","id","label","Title.y","Doi.y","x","y","cluster","weight.Links.","weight.Total.link.strength.","weight.Citations.","weight.Norm..citations.","score.Pub..year.","score.Citations.","score.Norm..citations."
"209","effects of paternal obesity on growth and adiposity of male rat offspring","10.1152.ajpendo.00262.2016",2017,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet for 13-14 weeks","does not assess","no",NA,"adults",NA,"morphology",NA,"morphology","gene expression, physiology, morphology","birth weight and subsequent growth, food intake, glucose and insulin tolerance, Plasma hormones and triglyceride, growth hormone level, gene expression","no",NA,"one sex measured only","no","no",NA,"10.1152.ajpendo.00262.2016",138,"lecomte v. (2017)","effects of paternal obesity on growth and adiposity of male rat offspring","10.1152.ajpendo.00262.2016",-0.3491,-0.6475,1,116,16,8,1.1429,2017,8,1.1429
"210","father’s obesity programs the adipose tissue in the offspring via the local renin–angiotensin system and mapks pathways, especially in adult male mice","10.1007.s00394.017.1473.4",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","high-fat diet for 8 weeks prior to mating","does not assess","no",NA,"adults",NA,"morphology, other",NA,NA,"gene expression, physiology, morphology","bith weight, sex, food and Energy intake, insulin sensitivity, adipose tissue, gene expression, genital fat pad mass","no",NA,"yes","no","no",NA,"10.1007.s00394.017.1473.4",48,"ornellas f. (2018)","father’s obesity programs the adipose tissue in the offspring via the local renin–angiotensin system and mapks pathways, especially in adult male mice","10.1007.s00394.017.1473.4",-0.3395,-0.71,1,122,17,1,0.2566,2018,1,0.2566
"211","folate treatment of pregnant rat dams abolishes metabolic effects in female offspring induced by a paternal pre-conception unhealthy diet","10.1007.s00125.018.4635.x",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","control or high-fat, high-sucrose and high-salt diet woth or without folate","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology","body weight, size, glucose tolerance, metabolic tests, pancreas and liver moprphology, liver triacylglycerol levels, hepatic gene expression","no",NA,"yes","no","no",NA,"10.1007.s00125.018.4635.x",47,"li j. (2018)","folate treatment of pregnant rat dams abolishes metabolic effects in female offspring induced by a paternal pre-conception unhealthy diet","10.1007.s00125.018.4635.x",-0.1812,-0.7326,1,134,23,5,1.283,2018,5,1.283
"212","four weeks of exercise early in life reprograms adult skeletal muscle insulin resistance caused by a paternal high-fat diet","10.1113.jp276386",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","HFD for 10 weeks before mating","does not assess","no",NA,"adults",NA,"morphology, other",NA,"morphology","physiology, morphology","body weight at birth, sex ratio, body weight at 21, organ mass, adult female offspring: sedentary or exercising and measured: insulin sensitivity, pancreatic β-cel mass and insulin secretion, mitochondrial respiration","no",NA,"one sex measured only","no","no",NA,"10.1113.jp276386",19,"falcão-tebas f. (2019)","four weeks of exercise early in life reprograms adult skeletal muscle insulin resistance caused by a paternal high-fat diet","10.1113.jp276386",-0.502,-0.5226,1,116,15,2,1.2903,2019,2,1.2903
"213","paternal dietary restriction affects progeny fat content in caenorhabditis elegans","10.1002.iub.1042",2012,"other invertebrate","Caenorhabditis elegans","polygamy – promiscuity","unclear","captive","as juvenile","Diet","dietary restriction","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"morphology","adult body proprotions anf fat content","no",NA,"yes","no","no",NA,"10.1002.iub.1042",295,"miersch c. (2012)","paternal dietary restriction affects progeny fat content in caenorhabditis elegans","10.1002.iub.1042",-0.1357,0.2227,1,214,24,5,0.1316,2012,5,0.1316
"214","paternal high-fat diet enhances offspring whole-body insulin sensitivity and skeletal muscle insulin signaling early in life","10.14814.phy2.13583",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","hig-fat diet for 12 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, morphology","body weight, insulin sensitivity, insulin signalling, body composition,","no",NA,"yes","no","no",NA,"10.14814.phy2.13583",71,"consitt l.a. (2018)","paternal high-fat diet enhances offspring whole-body insulin sensitivity and skeletal muscle insulin signaling early in life","10.14814.phy2.13583",-0.1704,-0.7356,1,127,22,0,0,2018,0,0
"215","paternal low protein diet affects adult offspring cardiovascular and metabolic function in mice","10.1152.ajpheart.00981.2013",2014,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","normal or low-pritein diet for 7 weeks prior to mating","correlative assessment","no",NA,"adults","morphology, other",NA,NA,NA,"gene expression, morphology","body weight and sex ratio at birth, glucose tolerance, vascular function, RNA analyses from offspring heart and liver tissues","no",NA,"yes","no","no",NA,"10.1152.ajpheart.00981.2013",230,"watkins a.j. (2014)","paternal low protein diet affects adult offspring cardiovascular and metabolic function in mice","10.1152.ajpheart.00981.2013",-0.002,-0.4575,1,152,23,43,1.1471,2014,43,1.1471
"216","paternal malnutrition programs breast cancer risk and tumor metabolism in offspring","10.1186.s13058.018.1034.7",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Diet","low protein diet (8.9%) form 3 to 10 weeks of age","correlative assessment","yes – maternal effects","cross-fostering","adults",NA,"morphology",NA,"morphology","gene expression, physiology, morphology","birth weight, and subsequnet time points, mammary gland morphology, molecular analyses of mammay gland, and mammary tumorigenesis","no",NA,"one sex measured only","no","no",NA,"10.1186.s13058.018.1034.7",41,"da cruz r.s. (2018)","paternal malnutrition programs breast cancer risk and tumor metabolism in offspring","10.1186.s13058.018.1034.7",0.1023,-0.5453,1,146,31,1,0.2566,2018,1,0.2566
"217","paternal obesity initiates metabolic disturbances in two generations of mice with incomplete penetrance to the f2 generation and alters the transcriptional profile of testis and sperm microrna content","10.1096.fj.12.224048",2013,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Diet","high-fat diet (HFD) or a control diet (CD); for a period of 10 wk.","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"physiology, morphology","body weight, body composition, glucose tolerance, insulin tolerance also measured in grandoffspring, leptin","phenotype","adults","yes","no","no",NA,"10.1096.fj.12.224048",262,"fullston t. (2013)","paternal obesity initiates metabolic disturbances in two generations of mice with incomplete penetrance to the f2 generation and alters the transcriptional profile of testis and sperm microrna content","10.1096.fj.12.224048",-0.2984,-0.4704,1,157,53.8,244,4.9942,2013,244,4.9942
"218","paternal programming of liver function and lipid profile induced by a paternal pre-conceptional unhealthy diet: potential association with altered gut microbiome composition","10.1159.000497487",2019,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","unclear","captive","as adult","Diet","high-fat, high-sucrose and high-salt diet group fed to fatheres at F0 and F1 generation","does not assess","no",NA,"adults",NA,NA,NA,NA,"physiology, morphology, behavior","body weight, food intake, liver function and weight, serum metabolites, diversity and richness of the microbiome","no",NA,"yes","no","no",NA,"10.1159.000497487",6,"zhang x. (2019)","paternal programming of liver function and lipid profile induced by a paternal pre-conceptional unhealthy diet: potential association with altered gut microbiome composition","10.1159.000497487",-0.1526,-0.8221,1,100,14,0,0,2019,0,0
"219","preconceptional fasting of fathers alters serum glucose in offspring of mice","10.1016.j.nut.2005.09.006",2006,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Diet","male mice were fasted one or six times 1 to 4 wk before mating","does not assess","no",NA,"adults",NA,NA,NA,"physiology","physiology, morphology","serum analyzed for glucose, corticosterone, and insulin-like growth factor-1, body weight","no",NA,"yes","no","no",NA,"10.1016.j.nut.2005.09.006",365,"anderson l.m. (2006)","preconceptional fasting of fathers alters serum glucose in offspring of mice","10.1016.j.nut.2005.09.006",0.0067,0.5988,3,53,11,109,1.8319,2006,109,1.8319
"220","a paternal methyl donor-rich diet altered cognitive and neural functions in offspring mice","10.1038.mp.2017.53",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","methyl donor-rich diet (MD) for 6 weeks prior to mating","does not assess","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, behavior","adult learning and memmory, fear responses, motor coordination, reflex, brain functioning, gene expression, metabolic performanc","phenotype","adults","no","no","no",NA,"10.1038.mp.2017.53",60,"ryan d.p. (2018)","a paternal methyl donor-rich diet altered cognitive and neural functions in offspring mice","10.1038.mp.2017.53",-0.3401,-0.586,1,169,24,8,2.0528,2018,8,2.0528
"221","intergenerational impact of paternal lifetime exposures to both folic acid deficiency and supplementation on reproductive outcomes and imprinted gene methylation","10.1093.molehr.gax029",2017,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","in utero, as juvenile, as adult","Diet","two levels of amino-acid diet","correlative assessment","no",NA,"adults","gene expression, morphology, survival",NA,NA,"morphology, survival","physiology","embryonic weight, size, congenital malformations, sex, viability, gene expression, plasma and red blood cell total folate in male offspring","no",NA,"one sex measured only","no","no",NA,"10.1093.molehr.gax029",109,"ly l. (2017)","intergenerational impact of paternal lifetime exposures to both folic acid deficiency and supplementation on reproductive outcomes and imprinted gene methylation","10.1093.molehr.gax029",0.1505,-0.0265,1,53,17,11,1.5714,2017,11,1.5714
"222","overexpression of kcnmb2 in dorsal ca1 of offspring mice rescues hippocampal dysfunction caused by a methyl donor-rich paternal diet","10.3389.fncel.2018.00360",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","unclear","captive","as adult","Diet","methyl donor-rich diet for 6 weeks prior to mating","does not assess","unclear",NA,"adults",NA,NA,NA,NA,"physiology","hippocampal function","no",NA,"no","no","no",NA,"10.3389.fncel.2018.00360",26,"yu m. (2018)","overexpression of kcnmb2 in dorsal ca1 of offspring mice rescues hippocampal dysfunction caused by a methyl donor-rich paternal diet","10.3389.fncel.2018.00360",-0.6692,-1.2115,1,1,1,0,0,2018,0,0
"223","paternal cholestasis exacerbates obesity-associated hypertension in male offspring but is prevented by paternal ursodeoxycholic acid treatment","10.1038.s41366.018.0095.0",2019,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","cholic acid (CA)-supplemented diet for 10 weeks","does not assess","no",NA,"adults",NA,"morphology",NA,NA,"gene expression, physiology, morphology, behavior","body weight at day 2 and afettrwards, exposure to different diets followed by glucose tolerance, insulin measurments, liver lipids, gene expression, cardiovascular parameters, activity","no",NA,"yes","no","no",NA,"10.1038.s41366.018.0095.0",13,"pataia v. (2019)","paternal cholestasis exacerbates obesity-associated hypertension in male offspring but is prevented by paternal ursodeoxycholic acid treatment","10.1038.s41366.018.0095.0",-0.5188,-0.3428,1,158,19,1,0.6452,2019,1,0.6452
"224","revisiting telegony: offspring inherit an acquired characteristic of their mother’s previous mate","10.1111.ele.12373",2014,"arthropod","Telostylinus angusticollis","polygamy – promiscuity","without mate choice","captive","as juvenile","Diet","rich larval medium (3-fold higher concentrations of protein and carbohydrates than poor larval medium","telegony","yes – maternal effects","other","adults",NA,NA,NA,"survival","morphology","adult body size, egg-to-adult survival, developmental time,","no",NA,"yes","no","no",NA,"10.1111.ele.12373",238,"crean a.j. (2014)","revisiting telegony: offspring inherit an acquired characteristic of their mother's previous mate","10.1111.ele.12373",-0.8214,-0.0477,3,64,27,33,0.8803,2014,33,0.8803
"225","a paternal methyl donor depleted diet leads to increased anxiety- and depression-like behavior in adult rat offspring","10.1042.bsr20180730",2018,"non-human mammal","Rattus norvegicus","polygamy – promiscuity","without mate choice","captive","as adult","Diet","methyl donor diet for 5 weeks","does not assess","no",NA,"adults",NA,NA,NA,NA,"behavior","anxiety- and depression-related behavior: the open field test, elevated plus maze, social interaction, forced swim test","no",NA,"one sex measured only","no","no",NA,"10.1042.bsr20180730",49,"mccoy c.r. (2018)","a paternal methyl donor depleted diet leads to increased anxiety- and depression-like behavior in adult rat offspring","10.1042.bsr20180730",-0.5432,-0.2739,1,82,13,1,0.2566,2018,1,0.2566
"226","diet-induced paternal obesity impairs cognitive function in offspring by mediating epigenetic modifications in spermatozoa","10.1002.oby.22322",2018,"non-human mammal","Mus musculus","polygamy – promiscuity","without mate choice","captive","as juvenile, as adult","Diet","high-fat diet between 4-10 weeks of age","correlative assessment","no",NA,"adults",NA,NA,NA,NA,"gene expression, physiology, morphology, behavior, fecundity","blood glucose, spatial learning anad memory, fear conditioning, hippocampal cell proliferation, gene expression","phenotype","adults","one sex measured only","no","no",NA,"10.1002.oby.22322",25,"zhou y. (2018)","diet-induced paternal obesity impairs cognitive function in offspring by mediating epigenetic modifications in spermatozoa","10.1002.oby.22322",-0.2301,-0.7791,1,122,21,1,0.2566,2018,1,0.2566
